District_Name,Season,Crop,N kg/ha,P  kg/ha,K  kg/ha,ph,Humidity_Min,Humidity_Max,Humidity_around,Rainfall,Temp_around,Area,Production
KARIMNAGAR,Rabi       ,Arhar/Tur,25.19661011,44.89863502,41.90687739,6.903859018,13.1,41.5,27.3,581.2,35.2100926,300,100
KARIMNAGAR,Kharif     ,Arhar/Tur,29.44429144,44.82151257,48.56323121,6.742733603,43,97.1,70.05,795.4,35.6861058,5991,2145
KARIMNAGAR,Rabi       ,Arhar/Tur,27.66092192,44.42865648,49.26755997,6.53489743,56.9,94.8,75.85,774.6,37.93664637,548,196
KARIMNAGAR,Kharif     ,Arhar/Tur,25.1446235,44.51826228,47.57433233,7.215206922,81.5,97.2,89.35,1000.2,39.03701442,4999,2649
KARIMNAGAR,Rabi       ,Arhar/Tur,28.56983241,43.21505445,41.09294593,6.475713947,55.1,82.3,68.7,1007,38.61508302,684,363
KARIMNAGAR,Kharif     ,Arhar/Tur,29.26390855,45.39055463,48.50744682,7.315534391,52.9,97.3,75.1,571.2,40.63564357,6620,1629
KARIMNAGAR,Rabi       ,Arhar/Tur,25.84023426,43.0799198,43.22854507,7.570376941,23.7,75.3,49.5,1029.8,38.23403186,512,126
KARIMNAGAR,Kharif     ,Arhar/Tur,27.4970944,44.95971169,46.24888214,7.222762654,22.9,67.6,45.25,1113.6,36.81439351,11352,4813
KARIMNAGAR,Rabi       ,Arhar/Tur,29.62358321,44.06036149,45.77059971,7.478234884,19,65.4,42.2,625,35.66683359,889,377
KARIMNAGAR,Kharif     ,Arhar/Tur,28.67782455,43.55268011,46.60311065,7.07944143,6.8,68,37.4,324,37.34244695,9833,2212
KARIMNAGAR,Rabi       ,Arhar/Tur,26.80514619,44.9932636,40.767766,7.060962012,24.6,62.3,43.45,1075.6,36.46007927,579,130
KARIMNAGAR,Kharif     ,Arhar/Tur,27.67054956,43.04261131,49.69227857,7.163448171,27.1,46.8,36.95,1200.8,35.58917534,16818,11436
KARIMNAGAR,Kharif     ,Arhar/Tur,26.63745132,44.34339708,40.27361026,7.58204287,72.9,99.9,86.4,1086.4,40.17690349,11789,5187
KARIMNAGAR,Kharif     ,Arhar/Tur,25.65812789,43.42952156,44.71826256,6.631017583,71.1,99.9,85.5,734.4,37.51634475,10000,7000
KARIMNAGAR,Kharif     ,Arhar/Tur,29.20341655,45.18655678,44.69922059,7.365683156,64.9,97.7,81.3,901.6,35.99058686,6542,3873
KARIMNAGAR,Kharif     ,Arhar/Tur,25.99983776,44.04688218,43.3744128,6.841818582,82.2,97.6,89.9,1018.2,38.35786158,6016,4416
KARIMNAGAR,Rabi       ,Arhar/Tur,28.05198912,43.93117121,41.09078944,7.088705877,45.2,97.6,71.4,967.2,38.17480037,920,675
KARIMNAGAR,Kharif     ,Arhar/Tur,25.64189182,43.32306154,44.05506229,7.36873684,52.4,99.9,76.15,991.8,37.67652266,9384,3388
KARIMNAGAR,Rabi       ,Arhar/Tur,25.98674411,45.43296705,48.48668805,6.814360305,16.9,69.3,43.1,1033,38.50169571,50,18
KARIMNAGAR,Kharif     ,Arhar/Tur,26.03301717,44.30205717,46.51873139,6.408583615,10.8,50,30.4,1306.4,36.2732047,9569,4383
KARIMNAGAR,Rabi       ,Arhar/Tur,27.72119174,44.57012668,43.99874806,6.678220904,43.7,85.4,64.55,1293.6,39.53023837,18,8
KARIMNAGAR,Kharif     ,Arhar/Tur,26.04470653,44.73409174,44.76970202,7.029993988,21.4,56,38.7,798.6,40.68858623,4548,3084
KARIMNAGAR,Kharif     ,Arhar/Tur,25.52240855,43.95631593,47.81863279,6.949304818,29.8,60.8,45.3,1232,40.27027912,3126,2254
KHAMMAM,Kharif     ,Arhar/Tur,29.40055445,43.20651918,47.03294457,7.192689676,13.8,57.4,35.6,628.4,39.68419651,25400,8400
KHAMMAM,Rabi       ,Arhar/Tur,29.23822875,44.57172849,40.51668886,6.48641799,42.4,72.4,57.4,1047.6,38.00776356,200,100
KHAMMAM,Kharif     ,Arhar/Tur,27.163378,44.62823786,42.11425196,7.576145158,34.1,60.1,47.1,1193.6,37.2488797,23200,11600
KHAMMAM,Rabi       ,Arhar/Tur,29.04434806,44.30599996,46.03411951,6.824365359,80.6,98.3,89.45,408.2,39.78607191,500,200
KHAMMAM,Kharif     ,Arhar/Tur,25.34119057,44.44128224,41.06472054,7.377224259,56.7,98.3,77.5,802.4,36.65696036,25490,13867
KHAMMAM,Rabi       ,Arhar/Tur,25.15838382,43.61028009,41.9370246,6.967884659,63.3,99.9,81.6,719,39.3638343,902,491
KHAMMAM,Kharif     ,Arhar/Tur,25.75194147,44.38402297,46.94980932,6.675613504,55,93.1,74.05,780.2,38.38075809,21010,9980
KHAMMAM,Rabi       ,Arhar/Tur,27.28670601,45.0210928,43.20476153,6.826056812,37.6,96.5,67.05,513.4,40.55249191,635,302
KHAMMAM,Kharif     ,Arhar/Tur,25.36382953,44.64352234,47.12878589,7.518642955,49.6,98.6,74.1,389,38.64618069,24448,10195
KHAMMAM,Rabi       ,Arhar/Tur,27.16476376,45.23620165,48.19017351,6.956931768,40.6,97.2,68.9,845.6,37.9164819,777,324
KHAMMAM,Kharif     ,Arhar/Tur,28.6190962,43.01814969,44.58590953,7.296638672,41.8,98.6,70.2,444.8,37.78242708,29176,15405
KHAMMAM,Rabi       ,Arhar/Tur,26.87138784,44.9905547,47.60596032,7.284996389,39.3,98.2,68.75,236,40.15589637,774,409
KHAMMAM,Kharif     ,Arhar/Tur,27.76357544,43.95063914,45.93609655,7.196172827,63.2,98.6,80.9,295.8,36.10537417,26863,15258
KHAMMAM,Rabi       ,Arhar/Tur,25.67236486,43.64284833,43.35985605,7.117830307,35.9,76.6,56.25,683,36.98364189,676,384
KHAMMAM,Kharif     ,Arhar/Tur,28.84104964,45.1280024,43.86828186,7.535987013,63.2,93.8,78.5,613.4,37.08263628,26742,16500
KHAMMAM,Kharif     ,Arhar/Tur,29.98073953,43.23196316,43.19516193,7.444436649,65.1,97.2,81.15,557.4,39.47051452,22343,12177
KHAMMAM,Rabi       ,Arhar/Tur,29.73286841,45.06211891,49.79897569,6.434858112,57.9,76.4,67.15,702.2,37.70305597,578,315
KHAMMAM,Kharif     ,Arhar/Tur,26.75958982,44.44178418,43.63244646,6.963276783,70.9,90.8,80.85,521.6,38.7279161,19000,11000
KHAMMAM,Kharif     ,Arhar/Tur,26.03486943,45.10944033,41.49717041,7.413807499,50,97.8,73.9,479.2,40.23782775,14055,8377
KHAMMAM,Rabi       ,Arhar/Tur,28.93702555,43.81189443,40.686489,6.659737257,63.7,97.6,80.65,764.8,40.46560633,627,374
KHAMMAM,Kharif     ,Arhar/Tur,29.81312005,44.22709475,46.85061583,6.911412526,28.6,97.2,62.9,723.2,35.87441184,10526,5031
KHAMMAM,Rabi       ,Arhar/Tur,25.73900108,45.43738816,44.83051583,6.71897095,31.9,95.9,63.9,629.2,35.01998739,1859,889
KHAMMAM,Kharif     ,Arhar/Tur,27.05927823,44.02231673,46.19688123,7.138033899,27.3,100,63.65,451.4,40.92314668,13606,5061
KHAMMAM,Rabi       ,Arhar/Tur,29.23090734,43.39116681,40.16730471,7.372578656,20.5,97.2,58.85,872.4,35.5534088,1261,469
KHAMMAM,Kharif     ,Arhar/Tur,29.60957928,44.54951411,41.32735705,7.578898324,25.4,82.9,54.15,801,39.60776143,5591,2119
KHAMMAM,Rabi       ,Arhar/Tur,27.80198424,43.17449317,47.72934348,6.751519164,41.3,100,70.65,359.6,40.65493098,454,172
KHAMMAM,Kharif     ,Arhar/Tur,25.2974859,44.74289745,45.4073995,6.902815895,13.5,70.1,41.8,1093.3,38.8404098,1981,1135
KHAMMAM,Kharif     ,Arhar/Tur,25.78708293,43.54942473,40.21451912,6.409162339,18.4,54.7,36.55,909,40.65413397,1873,978
MAHBUBNAGAR,Kharif     ,Arhar/Tur,25.87145138,44.02644918,46.67767243,6.684373893,53.6,100,76.8,732.6,39.75643539,36200,6100
MAHBUBNAGAR,Kharif     ,Arhar/Tur,27.35721633,44.72057083,46.77637844,7.455445981,48,86.1,67.05,589,38.0678276,49400,12000
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.75682659,43.82464686,40.30679663,6.489481552,61.7,99.9,80.8,749.8,37.48206919,65889,28530
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.85919311,43.58383804,47.96029192,7.260760149,42.6,86.8,64.7,862.8,40.53055795,57586,16297
MAHBUBNAGAR,Rabi       ,Arhar/Tur,27.73176084,45.04288567,46.39172786,6.973913994,27.7,82.1,54.9,1103.6,37.16700464,7,2
MAHBUBNAGAR,Kharif     ,Arhar/Tur,25.3925512,43.33376554,42.93989398,7.085073185,26.7,95.4,61.05,1113.4,38.99720432,58008,24073
MAHBUBNAGAR,Kharif     ,Arhar/Tur,25.70879293,45.12045512,45.59566614,7.530150812,22.5,68.7,45.6,417.2,40.97660675,60205,24022
MAHBUBNAGAR,Rabi       ,Arhar/Tur,26.91284414,44.44438807,40.58460891,6.90475718,40.3,65.8,53.05,1081.6,38.87461539,2,1
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.79221137,43.38880657,40.18803121,7.040447703,72.2,87.5,79.85,1184.2,38.73326075,52383,19329
MAHBUBNAGAR,Kharif     ,Arhar/Tur,27.94368585,44.8655684,46.61257462,6.651151759,57.1,83,70.05,906.2,39.0787023,61398,45435
MAHBUBNAGAR,Kharif     ,Arhar/Tur,25.65313022,44.89714524,49.97004123,7.342238333,26.6,78.6,52.6,897.2,39.9834591,66732,13880
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.64052244,43.22891313,44.76125436,6.794582459,23.9,65.8,44.85,985,38.57864871,69000,49000
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.93313445,43.11597931,41.77337771,6.447119452,12.9,65.4,39.15,1106.6,35.07908516,79972,23032
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.30126476,43.48837395,46.01485626,7.553955659,19.3,57.8,38.55,926.6,39.83518389,92155,20182
MAHBUBNAGAR,Rabi       ,Arhar/Tur,26.05294881,43.36111229,45.76496077,7.305718065,29.2,77.7,53.45,744.6,36.21891562,289,63
MAHBUBNAGAR,Kharif     ,Arhar/Tur,27.11230259,43.11068918,42.70052716,7.258023878,24.9,57.4,41.15,835.2,35.17216071,124059,50492
MAHBUBNAGAR,Rabi       ,Arhar/Tur,25.5618015,43.19929323,47.54278051,7.123583096,50.6,85.9,68.25,1365.2,36.59788171,208,85
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.1977564,44.0602444,48.59971912,6.844845232,45.5,72.2,58.85,432.6,37.05609695,121184,20844
MAHBUBNAGAR,Kharif     ,Arhar/Tur,29.1830245,44.83407257,40.17049589,7.175954194,53,93.5,73.25,701,35.28165844,116002,54637
MAHBUBNAGAR,Kharif     ,Arhar/Tur,28.85050634,44.06687271,42.0852845,6.883720773,35.7,93,64.35,456.8,36.10979656,100635,45286
MEDAK,Kharif     ,Arhar/Tur,25.39995527,44.02332963,47.86653202,7.109764183,27.6,65.4,46.5,899.8,36.38814954,10700,100
MEDAK,Kharif     ,Arhar/Tur,25.94212876,43.68664213,46.97892073,7.419596874,27.5,78.3,52.9,925.2,38.38442453,18000,6300
MEDAK,Kharif     ,Arhar/Tur,25.48175208,44.18305889,47.62820651,6.686975053,10.5,61.3,35.9,870.8,39.08942108,21180,6756
MEDAK,Kharif     ,Arhar/Tur,29.23626847,43.54362997,48.15185033,7.505163582,77,96.5,86.75,348.6,38.59486109,19399,9971
MEDAK,Kharif     ,Arhar/Tur,27.06208964,44.68324226,48.49770561,7.435820013,53.1,78.2,65.65,739.2,40.99048347,18894,6122
MEDAK,Rabi       ,Arhar/Tur,26.41019204,45.31208316,48.65457292,7.067861649,72.5,96.1,84.3,380.4,37.80915298,44,14
MEDAK,Kharif     ,Arhar/Tur,26.79668171,45.23325204,49.58906966,7.018776128,39.3,94.4,66.85,614.6,40.37818158,24559,12746
MEDAK,Rabi       ,Arhar/Tur,29.99085764,44.56881272,45.43856801,7.47248708,25.2,61.6,43.4,615,37.04090472,7,4
MEDAK,Kharif     ,Arhar/Tur,29.31636002,43.89539304,40.54829374,6.75452896,6.7,59.3,33,444.2,38.04098282,23372,10728
MEDAK,Kharif     ,Arhar/Tur,29.57829561,43.81850734,42.00332983,6.414022988,23.4,52.9,38.15,165,37.9916428,24042,6131
MEDAK,Kharif     ,Arhar/Tur,25.91076249,45.35541552,45.94152929,6.837370232,27.7,69.2,48.45,632.2,38.26213826,23958,8218
MEDAK,Kharif     ,Arhar/Tur,28.14950638,45.27145829,40.36752511,6.694393628,73,93,83,914.8,40.8408249,24000,12000
MEDAK,Kharif     ,Arhar/Tur,29.88412845,43.05559106,49.01082592,6.901860807,45.9,73.1,59.5,1000,38.54336659,24584,14431
MEDAK,Kharif     ,Arhar/Tur,26.06072326,45.13517098,41.91072827,7.454118389,55.2,89.4,72.3,732.6,40.9438579,25186,6372
MEDAK,Rabi       ,Arhar/Tur,25.67423093,43.14494544,47.89079736,7.282200389,79.5,95.5,87.5,1133.8,36.44151604,694,176
MEDAK,Kharif     ,Arhar/Tur,29.67101012,43.72297908,43.31714171,7.270247444,33.1,84.3,58.7,1236.8,36.47176881,29766,20836
MEDAK,Rabi       ,Arhar/Tur,25.68722462,43.49563189,43.46856506,6.884266232,21.4,69.4,45.4,944.6,39.72067187,17,12
MEDAK,Kharif     ,Arhar/Tur,28.64740621,43.68116699,41.99521671,6.59193036,18.7,59.7,39.2,921.8,39.64451652,31168,11875
MEDAK,Rabi       ,Arhar/Tur,29.83585914,43.32096263,45.71187421,6.655555854,13.9,50.4,32.15,731.6,36.77663811,11,4
MEDAK,Kharif     ,Arhar/Tur,28.09572741,44.16593433,42.9611084,7.545698124,19.7,87.1,53.4,1242.6,37.65080934,26772,15447
MEDAK,Kharif     ,Arhar/Tur,28.62813472,45.41100299,40.3327444,7.190024538,23.3,68.7,46,1054,35.45622999,22001,6996
NALGONDA,Kharif     ,Arhar/Tur,29.60528135,45.24605393,45.96899874,6.633049695,74.3,87.1,80.7,291.6,36.68469577,26100,2800
NALGONDA,Kharif     ,Arhar/Tur,27.95257226,44.06737086,42.48504995,7.145441772,55.2,80.3,67.75,593,38.30082311,26400,11900
NALGONDA,Kharif     ,Arhar/Tur,26.36411503,45.14775902,43.66918118,6.991938047,57.6,87.8,72.7,1070,36.91111008,29954,9226
NALGONDA,Rabi       ,Arhar/Tur,28.47904505,44.07612694,44.11332332,7.287705697,61.9,87.8,74.85,1628.6,39.0735134,46,14
NALGONDA,Kharif     ,Arhar/Tur,25.24463473,44.27391879,45.56028545,6.568892523,61.7,99.9,80.8,1017,38.0107022,23250,6092
NALGONDA,Rabi       ,Arhar/Tur,29.70552369,44.52535248,48.38321186,6.787096285,54.8,98.9,76.85,1188.6,39.15950729,391,102
NALGONDA,Kharif     ,Arhar/Tur,29.97721564,43.85172786,40.68759542,7.169087696,45.1,99.4,72.25,556.4,37.00070869,24912,5281
NALGONDA,Rabi       ,Arhar/Tur,26.72449241,45.14119314,45.73229678,6.82105972,31.2,63.2,47.2,983,40.5973347,713,151
NALGONDA,Kharif     ,Arhar/Tur,25.19661011,44.89863502,41.90687739,6.903859018,47.6,96.2,71.9,982.6,35.2100926,37021,18844
NALGONDA,Rabi       ,Arhar/Tur,29.44429144,44.82151257,48.56323121,6.742733603,32,86.6,59.3,535.6,35.6861058,865,440
NALGONDA,Kharif     ,Arhar/Tur,27.66092192,44.42865648,49.26755997,6.53489743,27.9,64.7,46.3,651.6,37.93664637,36838,13188
NALGONDA,Rabi       ,Arhar/Tur,25.1446235,44.51826228,47.57433233,7.215206922,47.8,84.3,66.05,554.8,39.03701442,671,240
NALGONDA,Kharif     ,Arhar/Tur,28.56983241,43.21505445,41.09294593,6.475713947,38.1,72.8,55.45,944.6,38.61508302,36058,20697
NALGONDA,Kharif     ,Arhar/Tur,29.26390855,45.39055463,48.50744682,7.315534391,47.2,71.3,59.25,808.4,40.63564357,31140,9965
NALGONDA,Rabi       ,Arhar/Tur,25.84023426,43.0799198,43.22854507,7.570376941,48.6,72,60.3,796.2,38.23403186,517,165
NALGONDA,Kharif     ,Arhar/Tur,27.4970944,44.95971169,46.24888214,7.222762654,62.8,83.7,73.25,1104,36.81439351,38000,18000
NALGONDA,Kharif     ,Arhar/Tur,29.62358321,44.06036149,45.77059971,7.478234884,60.9,99.9,80.4,546.4,35.66683359,40916,19312
NALGONDA,Rabi       ,Arhar/Tur,28.67782455,43.55268011,46.60311065,7.07944143,63.7,97.3,80.5,412.8,37.34244695,105,50
NALGONDA,Kharif     ,Arhar/Tur,26.80514619,44.9932636,40.767766,7.060962012,29.4,72.4,50.9,846.8,36.46007927,36804,15568
NALGONDA,Rabi       ,Arhar/Tur,27.67054956,43.04261131,49.69227857,7.163448171,31.1,84.4,57.75,1191.4,35.58917534,5585,2362
NALGONDA,Kharif     ,Arhar/Tur,26.63745132,44.34339708,40.27361026,7.58204287,27.4,67.5,47.45,452.6,40.17690349,46939,21639
NALGONDA,Rabi       ,Arhar/Tur,25.65812789,43.42952156,44.71826256,6.631017583,24,72,48,538,37.51634475,18,8
NALGONDA,Kharif     ,Arhar/Tur,29.20341655,45.18655678,44.69922059,7.365683156,7.9,61.3,34.6,534,35.99058686,34830,6722
NALGONDA,Kharif     ,Arhar/Tur,25.99983776,44.04688218,43.3744128,6.841818582,39.8,74.1,56.95,680.4,38.35786158,25069,14365
NALGONDA,Kharif     ,Arhar/Tur,28.05198912,43.93117121,41.09078944,7.088705877,29.7,68.7,49.2,913.6,38.17480037,15661,7470
NIZAMABAD,Kharif     ,Arhar/Tur,25.64189182,43.32306154,44.05506229,7.36873684,65,92.7,78.85,189.2,37.67652266,1900,200
NIZAMABAD,Kharif     ,Arhar/Tur,25.98674411,45.43296705,48.48668805,6.814360305,37.2,71.2,54.2,406.6,38.50169571,2200,800
NIZAMABAD,Rabi       ,Arhar/Tur,26.03301717,44.30205717,46.51873139,6.408583615,76.7,100,88.35,571,36.2732047,100,
NIZAMABAD,Kharif     ,Arhar/Tur,27.72119174,44.57012668,43.99874806,6.678220904,48,85.9,66.95,570.4,39.53023837,2172,778
NIZAMABAD,Rabi       ,Arhar/Tur,26.04470653,44.73409174,44.76970202,7.029993988,64.4,100,82.2,504.2,40.68858623,257,92
NIZAMABAD,Kharif     ,Arhar/Tur,25.52240855,43.95631593,47.81863279,6.949304818,39.1,91.4,65.25,484.2,40.27027912,2615,565
NIZAMABAD,Rabi       ,Arhar/Tur,29.40055445,43.20651918,47.03294457,7.192689676,17.1,83.3,50.2,352.4,39.68419651,40,9
NIZAMABAD,Kharif     ,Arhar/Tur,29.23822875,44.57172849,40.51668886,6.48641799,18.6,75.1,46.85,472.6,38.00776356,2004,749
NIZAMABAD,Rabi       ,Arhar/Tur,27.163378,44.62823786,42.11425196,7.576145158,25.4,50.8,38.1,462,37.2488797,1,
NIZAMABAD,Kharif     ,Arhar/Tur,29.04434806,44.30599996,46.03411951,6.824365359,11.4,54.4,32.9,377.2,39.78607191,2420,813
NIZAMABAD,Rabi       ,Arhar/Tur,25.34119057,44.44128224,41.06472054,7.377224259,17.6,60.9,39.25,394.6,36.65696036,9,3
NIZAMABAD,Kharif     ,Arhar/Tur,25.15838382,43.61028009,41.9370246,6.967884659,41.4,89.4,65.4,226.8,39.3638343,3216,1386
NIZAMABAD,Rabi       ,Arhar/Tur,25.75194147,44.38402297,46.94980932,6.675613504,87,94.8,90.9,577.4,38.38075809,276,119
NIZAMABAD,Kharif     ,Arhar/Tur,27.28670601,45.0210928,43.20476153,6.826056812,57.6,93.7,75.65,632.2,40.55249191,4417,1687
NIZAMABAD,Kharif     ,Arhar/Tur,25.36382953,44.64352234,47.12878589,7.518642955,49.8,93.2,71.5,1172.8,38.64618069,3333,1173
NIZAMABAD,Kharif     ,Arhar/Tur,27.16476376,45.23620165,48.19017351,6.956931768,26.9,85.9,56.4,930.6,37.9164819,3000,2000
NIZAMABAD,Kharif     ,Arhar/Tur,28.6190962,43.01814969,44.58590953,7.296638672,15.3,46.9,31.1,1480.2,37.78242708,3339,4568
NIZAMABAD,Kharif     ,Arhar/Tur,26.87138784,44.9905547,47.60596032,7.284996389,18.3,60,39.15,589,40.15589637,3206,2998
NIZAMABAD,Rabi       ,Arhar/Tur,27.76357544,43.95063914,45.93609655,7.196172827,13.7,82.1,47.9,944.6,36.10537417,436,408
NIZAMABAD,Kharif     ,Arhar/Tur,25.67236486,43.64284833,43.35985605,7.117830307,16.2,70.7,43.45,937.4,36.98364189,5704,5807
NIZAMABAD,Rabi       ,Arhar/Tur,28.84104964,45.1280024,43.86828186,7.535987013,19.9,65.4,42.65,921.8,37.08263628,4,4
NIZAMABAD,Kharif     ,Arhar/Tur,29.98073953,43.23196316,43.19516193,7.444436649,30.2,72.2,51.2,1198.6,39.47051452,3946,3662
NIZAMABAD,Kharif     ,Arhar/Tur,29.73286841,45.06211891,49.79897569,6.434858112,86.1,99.1,92.6,600.2,37.70305597,3630,2073
NIZAMABAD,Kharif     ,Arhar/Tur,26.75958982,44.44178418,43.63244646,6.963276783,84.2,99.5,91.85,978.8,38.7279161,3380,886
RANGAREDDI,Kharif     ,Arhar/Tur,26.03486943,45.10944033,41.49717041,7.413807499,61.3,98.9,80.1,482.6,40.23782775,28900,1100
RANGAREDDI,Kharif     ,Arhar/Tur,28.93702555,43.81189443,40.686489,6.659737257,43.5,88.9,66.2,396.6,40.46560633,35600,15400
RANGAREDDI,Kharif     ,Arhar/Tur,29.81312005,44.22709475,46.85061583,6.911412526,33.9,55.9,44.9,1255.2,35.87441184,35400,12178
RANGAREDDI,Rabi       ,Arhar/Tur,25.73900108,45.43738816,44.83051583,6.71897095,29.5,74.6,52.05,1086.4,35.01998739,6,2
RANGAREDDI,Kharif     ,Arhar/Tur,27.05927823,44.02231673,46.19688123,7.138033899,15.8,49.6,32.7,556.4,40.92314668,33183,14567
RANGAREDDI,Kharif     ,Arhar/Tur,29.23090734,43.39116681,40.16730471,7.372578656,54.1,92.7,73.4,1120.4,35.5534088,32736,19151
RANGAREDDI,Kharif     ,Arhar/Tur,29.60957928,44.54951411,41.32735705,7.578898324,71.9,93.9,82.9,554.8,39.60776143,35790,26306
RANGAREDDI,Kharif     ,Arhar/Tur,27.80198424,43.17449317,47.72934348,6.751519164,25.3,99.9,62.6,835.2,40.65493098,35579,15477
RANGAREDDI,Kharif     ,Arhar/Tur,25.2974859,44.74289745,45.4073995,6.902815895,30.9,91.3,61.1,564.8,38.8404098,36260,25998
RANGAREDDI,Kharif     ,Arhar/Tur,25.78708293,43.54942473,40.21451912,6.409162339,23.4,96.9,60.15,1191.4,40.65413397,33213,24611
RANGAREDDI,Kharif     ,Arhar/Tur,25.87145138,44.02644918,46.67767243,6.684373893,21.9,57,39.45,498.2,39.75643539,32000,28000
RANGAREDDI,Kharif     ,Arhar/Tur,27.35721633,44.72057083,46.77637844,7.455445981,40.3,78.2,59.25,644.2,38.0678276,33289,20639
RANGAREDDI,Kharif     ,Arhar/Tur,29.75682659,43.82464686,40.30679663,6.489481552,85.7,99.9,92.8,995,37.48206919,33938,14220
RANGAREDDI,Rabi       ,Arhar/Tur,29.85919311,43.58383804,47.96029192,7.260760149,80.3,99.9,90.1,278.4,40.53055795,408,171
